ENTREZID	SYMBOL
170063	*C12orf9 # This record was replaced with Gene ID: 286464
93669	*unknow
10006	ABI1
100129108	LOC100129108
10016	PDCD6
10017	BCL2L10
10019	SH2B3
100271849	MEF2B
100302214	MIR1277
10057	ABCC5
10060	ABCC9
1007	CDH9
1008	CDH10
10082	GPC6
1009	CDH11
1010	CDH12
10142	AKAP9
10146	G3BP1
1016	CDH18
10186	LHFP
1019	CDK4
102	ADAM10
1021	CDK6
10215	OLIG2
10216	PRG4
10231	RCAN2
10240	MRPS31
10243	GPHN
10251	SPRY3
1026	CDKN1A
1027	CDKN1B
10270	AKAP8
10272	FSTL3
1029	CDKN2A
1030	CDKN2B
10301	DLEU1
1031	CDKN2C
10320	IKZF1
10326	SIRPB1
10335	MRVI1
10342	TFG
10347	ABCA7
10349	ABCA10
10365	KLF2
10395	DLC1
10397	NDRG1
10403	NDC80
10404	CPQ
10430	TMEM147
10436	EMG1
1045	CDX2
1046	CDX4
10482	NXF1
10499	NCOA2
1050	CEBPA
10512	SEMA3C
10533	ATG7
10568	SLC34A2
10599	SLCO1B1
10600	USP16
10605	PAIP1
10620	ARID3B
10628	TXNIP
10664	CTCF
10672	GNA13
10693	CCT6B
107	ADCY1
10718	NRG3
10735	STAG2
10801	SEPT9
10841	FTCD
10847	SRCAP
10849	CD3EAP
10859	LILRB1
10880	ACTL7B
10892	MALT1
10902	BRD8
10915	TCERG1
10917	BTNL3
10930	APOBEC2
10957	PNRC1
10962	MLLT11
10978	CLP1
10991	SLC38A3
1105	CHD1
11059	WWP1
1106	CHD2
11064	CNTRL
1107	CHD3
1108	CHD4
11086	ADAM29
11116	FGFR1OP
11122	PTPRT
1113	CHGA
11168	PSIP1
11197	WIF1
11200	CHEK2
11214	AKAP13
11215	AKAP11
11228	RASSF8
1123	CHN1
11280	SCN11A
11338	U2AF2
113791	PIK3IP1
114	ADCY8
114134	SLC2A13
114548	NLRP3
114780	PKD1L2
114788	CSMD3
114795	TMEM132B
114805	GALNT13
114815	SORCS1
114907	FBXO32
115350	FCRL1
116028	RMI2
116285	ACSM1
116511	MAS1L
116931	MED12L
117154	DACH2
1183	CLCN4
118491	CFAP70
118788	PIK3AP1
119548	PNLIPRP3
119559	SFXN4
119749	OR4C46
1198	CLK3
120114	FAT3
120892	LRRK2
121227	LRIG3
121256	TMEM132D
1213	CLTC
121364	OR10A7
121601	ANO4
122740	OR4K14
122742	OR4L1
1234	CCR5
1240	CMKLR1
124540	MSI2
124583	CANT1
125	ADH1B
125963	OR1M1
1262	CNGA4
126206	NLRP5
126410	CYP4F22
126567	C2CD4C
1272	CNTN1
127255	LRRIQ3
127294	MYOM3
127602	DNAH14
1277	COL1A1
1278	COL1A2
1280	COL2A1
1281	COL3A1
1284	COL4A2
128611	ZNF831
128674	PROKR2
1289	COL5A1
129446	XIRP2
129684	CNTNAP5
1298	COL9A2
1301	COL11A1
130507	UBR3
1316	KLF6
132243	H1FOO
132884	EVC2
133060	OTOP1
133558	MROH2B
133584	EGFLAM
1345	COX6C
137209	ZNF572
1373	CPS1
137964	GPAT4
137970	UNC5D
138009	DCAF4L2
1385	CREB1
1387	CREBBP
139081	MAGEC3
139135	PASD1
139285	AMER1
139378	ADGRG4
139628	FOXR2
140831	ZSWIM3
142685	ASB15
143187	VTI1A
1441	CSF3R
1442	CSH1
144535	CFAP54
145264	SERPINA12
145581	LRFN5
145788	C15orf65
1460	CSNK2B
146167	SLC38A8
146850	PIK3R6
146852	ODF4
147179	WIPF2
147184	TMEM99
147409	DSG4
148345	C1orf127
148823	GCSAML
149371	EXOC8
1496	CTNNA2
1499	CTNNB1
150160	CCT8L2
150465	TTL
151056	PLB1
151742	PPM1L
151888	BTLA
152007	GLIPR2
152687	ZNF595
153328	SLC25A48
1540	CYLD
1549	CYP2A7
1559	CYP2C9
1571	CYP2E1
157724	SLC7A13
157855	KCNU1
158471	PRUNE2
158584	FAAH2
1602	DACH1
160335	TMTC2
160418	TMTC3
160762	CCDC63
161176	SYNE3
1616	DAXX
162968	ZNF497
1630	DCC
1636	ACE
1639	DCTN1
1643	DDB2
1649	DDIT3
165257	C1QL2
1654	DDX3X
1655	DDX5
1656	DDX6
1657	DMXL1
1662	DDX10
166824	RASSF6
166968	MIER3
168090	C6orf118
169044	COL22A1
169166	SNX31
169966	FAM46D
170261	ZCCHC12
170961	ANKRD24
171017	ZNF384
171023	ASXL1
1729	DIAPH1
173	AFM
1741	DLG3
1756	DMD
1767	DNAH5
1770	DNAH9
1780	DYNC1I1
1785	DNM2
1786	DNMT1
1788	DNMT3A
1794	DOCK2
1804	DPP6
1806	DPYD
1811	SLC26A3
1816	DRD5
182	JAG1
1823	DSC1
1825	DSC3
1828	DSG1
1837	DTNA
1844	DUSP2
1849	DUSP7
1852	DUSP9
187	APLNR
1879	EBF1
1880	GPR183
